partner_ID,hotel,is_canceled,total_cost,days_betwee_reservation_and_check_in,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal_booked,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
2,Resort Hotel,0,730,94,2015,July,28,5,4,6,3,0,0,BB,Direct,Direct,0,0,0,D,C,3,1,1,Check-Out,15/07/2015
10,Resort Hotel,0,710,110,2015,July,28,5,4,7,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,0,Check-Out,16/07/2015
27,Resort Hotel,0,150,98,2015,July,28,6,1,1,2,0,0,BB,Online TA,TA/TO,0,0,0,D,F,0,1,1,Check-Out,08/07/2015
14,Resort Hotel,0,300,34,2015,July,28,6,1,4,2,0,0,HB,Direct,Direct,0,0,0,F,F,0,1,0,Check-Out,11/07/2015
1,Resort Hotel,0,640,100,2015,July,28,6,3,7,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,1,0,1,Check-Out,16/07/2015
28,Resort Hotel,0,150,21,2015,July,28,7,0,3,2,1,0,HB,Direct,Direct,0,0,0,F,F,0,0,1,Check-Out,10/07/2015
19,Resort Hotel,0,0,8,2015,July,28,7,0,0,2,0,0,BB,Online TA,TA/TO,0,0,0,A,E,0,0,1,Check-Out,07/07/2015
21,Resort Hotel,0,50,0,2015,July,28,7,0,1,1,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,3,Check-Out,08/07/2015
1,Resort Hotel,1,250,105,2015,July,28,8,0,4,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,1,Canceled,29/06/2015
11,Resort Hotel,0,50,0,2015,July,28,8,0,1,1,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,0,Check-Out,09/07/2015
4,Resort Hotel,1,410,280,2015,July,28,8,2,5,2,1,0,HB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,1,Canceled,15/04/2015
14,Resort Hotel,0,480,394,2015,July,28,8,2,5,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,0,Check-Out,15/07/2015
2,Resort Hotel,0,460,82,2015,July,28,8,2,6,3,0,0,BB,Direct,Direct,0,0,0,A,A,0,0,1,Check-Out,16/07/2015
14,Resort Hotel,0,130,12,2015,July,28,9,0,2,2,2,0,BB,Direct,Direct,0,0,0,H,G,2,1,0,Check-Out,11/07/2015
22,Resort Hotel,1,150,77,2015,July,28,9,0,3,2,0,0,BB,Direct,Direct,0,0,0,D,D,0,0,0,Canceled,02/06/2015
28,Resort Hotel,1,220,103,2015,July,28,9,1,3,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Canceled,27/06/2015
28,Resort Hotel,1,480,69,2015,July,28,9,2,6,2,0,0,HB,Online TA,TA/TO,0,0,0,A,A,0,0,2,Canceled,13/05/2015
20,Resort Hotel,0,150,13,2015,July,28,10,0,2,2,1,0,HB,Online TA,TA/TO,0,0,0,G,G,2,1,1,Check-Out,12/07/2015
14,Resort Hotel,0,170,108,2015,July,28,10,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,1,0,2,Check-Out,12/07/2015
25,Resort Hotel,0,80,91,2015,July,28,10,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,1,Check-Out,12/07/2015
2,Resort Hotel,0,190,21,2015,July,28,10,1,2,2,0,0,BB,Direct,Direct,0,0,0,A,C,0,0,1,Check-Out,13/07/2015
9,Resort Hotel,0,190,106,2015,July,28,10,1,2,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,0,2,Check-Out,13/07/2015
23,Resort Hotel,0,460,31,2015,July,28,10,2,5,2,0,0,HB,Direct,Direct,0,0,0,D,D,1,1,1,Check-Out,17/07/2015
30,Resort Hotel,0,430,34,2015,July,28,10,2,5,2,1,0,HB,Online TA,TA/TO,0,0,0,F,F,0,0,3,Check-Out,17/07/2015
12,Resort Hotel,0,430,87,2015,July,28,10,2,5,2,1,1,FB,Offline TA/TO,TA/TO,0,0,0,C,C,0,0,2,Check-Out,17/07/2015
6,Resort Hotel,0,710,41,2015,July,28,10,4,7,2,0,1,BB,Online TA,TA/TO,0,0,0,F,F,0,0,0,Check-Out,21/07/2015
23,Resort Hotel,0,430,34,2015,July,28,10,2,5,2,0,0,HB,Online TA,TA/TO,0,0,0,F,F,0,0,1,Check-Out,17/07/2015
7,Resort Hotel,1,380,100,2015,July,28,11,2,3,2,1,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,0,Canceled,29/05/2015
26,Resort Hotel,0,50,0,2015,July,28,11,0,1,1,0,0,BB,Direct,Direct,0,0,0,A,A,0,0,0,Check-Out,12/07/2015
15,Resort Hotel,0,430,90,2015,July,29,12,2,5,2,0,0,FB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,1,Check-Out,12/07/2015
26,Resort Hotel,0,450,34,2015,July,29,12,2,5,2,0,1,HB,Offline TA/TO,TA/TO,0,0,0,D,D,1,0,1,Check-Out,19/07/2015
22,Resort Hotel,0,710,31,2015,July,29,12,4,7,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,0,Check-Out,23/07/2015
11,Resort Hotel,0,180,34,2015,July,29,12,2,0,2,2,0,BB,Online TA,TA/TO,0,0,0,G,G,0,0,1,Check-Out,14/07/2015
26,Resort Hotel,0,310,50,2015,July,29,12,2,3,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,0,Check-Out,17/07/2015
4,Resort Hotel,1,430,79,2015,July,29,13,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,1,Canceled,13/05/2015
6,Resort Hotel,0,430,91,2015,July,29,13,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Check-Out,20/07/2015
9,Resort Hotel,0,140,109,2015,July,29,13,1,1,2,0,0,BB,Online TA,TA/TO,0,0,0,A,C,0,0,1,Check-Out,15/07/2015
21,Resort Hotel,0,290,38,2015,July,29,13,1,4,2,0,0,BB,Direct,Direct,0,0,0,D,E,0,0,0,Check-Out,18/07/2015
7,Resort Hotel,0,380,32,2015,July,29,13,1,5,1,0,0,HB,Offline TA/TO,TA/TO,0,0,0,D,C,2,0,0,Check-Out,19/07/2015
18,Resort Hotel,0,430,81,2015,July,29,13,2,5,2,1,0,HB,Direct,Direct,0,0,0,E,E,0,0,2,Check-Out,20/07/2015
21,Resort Hotel,0,270,56,2015,July,29,13,1,3,2,0,0,HB,Online TA,TA/TO,0,0,0,A,A,1,1,0,Check-Out,17/07/2015
29,Resort Hotel,0,370,317,2015,July,29,14,1,5,2,2,0,HB,Direct,TA/TO,0,0,0,H,G,1,1,2,Check-Out,20/07/2015
4,Resort Hotel,0,840,38,2015,July,29,14,4,10,2,0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,0,2,Check-Out,28/07/2015
19,Resort Hotel,0,360,37,2015,July,29,15,2,4,2,0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,0,0,Check-Out,21/07/2015
23,Resort Hotel,0,100,57,2015,July,29,15,0,2,2,0,0,FB,Groups,Direct,0,0,0,A,C,0,0,0,Check-Out,17/07/2015
11,Resort Hotel,0,100,57,2015,July,29,15,0,2,2,0,0,FB,Groups,Direct,0,0,0,A,A,0,0,0,Check-Out,17/07/2015
9,Resort Hotel,0,100,57,2015,July,29,15,0,2,2,0,0,FB,Groups,Direct,0,0,0,A,D,0,0,0,Check-Out,17/07/2015
14,Resort Hotel,0,530,83,2015,July,29,15,2,7,2,2,0,BB,Online TA,TA/TO,0,0,0,G,G,0,0,1,Check-Out,24/07/2015
14,Resort Hotel,0,120,57,2015,July,29,15,0,2,1,0,0,FB,Groups,Direct,0,0,0,A,E,1,0,0,Check-Out,17/07/2015
14,Resort Hotel,0,100,57,2015,July,29,15,0,2,2,0,0,FB,Groups,Direct,0,0,0,A,A,0,0,0,Check-Out,17/07/2015
13,Resort Hotel,0,150,13,2015,July,29,16,0,2,2,1,0,BB,Online TA,TA/TO,0,0,0,A,D,0,0,1,Check-Out,18/07/2015
20,Resort Hotel,0,430,68,2015,July,29,16,2,5,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,0,Check-Out,23/07/2015
2,Resort Hotel,0,550,113,2015,July,29,16,2,6,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,1,0,0,Check-Out,24/07/2015
13,Resort Hotel,0,100,15,2015,July,29,17,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,E,0,0,1,Check-Out,19/07/2015
27,Resort Hotel,0,430,24,2015,July,29,17,2,4,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,0,0,Check-Out,23/07/2015
16,Resort Hotel,0,480,79,2015,July,29,17,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,0,2,Check-Out,24/07/2015
4,Resort Hotel,0,240,38,2015,July,29,17,1,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,0,Check-Out,20/07/2015
9,Resort Hotel,0,190,13,2015,July,29,17,1,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,2,Check-Out,20/07/2015
27,Resort Hotel,0,270,91,2015,July,29,17,1,2,2,1,0,BB,Online TA,TA/TO,0,0,0,A,A,4,0,3,Check-Out,20/07/2015
28,Resort Hotel,1,280,96,2015,July,29,18,2,2,2,0,0,HB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Canceled,29/04/2015
22,Resort Hotel,1,310,42,2015,July,29,18,2,3,2,2,0,BB,Online TA,TA/TO,0,0,0,H,H,0,0,0,Canceled,11/06/2015
21,Resort Hotel,0,480,94,2015,July,29,18,2,5,2,0,0,BB,Direct,Direct,0,0,0,A,D,0,0,1,Check-Out,25/07/2015
21,Resort Hotel,1,480,40,2015,July,29,18,2,5,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,2,Canceled,24/06/2015
8,Resort Hotel,1,430,62,2015,July,30,19,2,5,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,E,E,0,0,1,Canceled,17/06/2015
16,Resort Hotel,1,430,31,2015,July,30,19,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,0,Canceled,19/06/2015
29,Resort Hotel,0,660,29,2015,July,30,19,4,6,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,C,C,0,0,0,Check-Out,29/07/2015
17,Resort Hotel,0,90,14,2015,July,30,20,1,0,1,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,C,0,0,0,Check-Out,21/07/2015
16,Resort Hotel,0,0,0,2015,July,30,20,0,0,1,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,I,0,0,0,Check-Out,20/07/2015
22,Resort Hotel,0,300,96,2015,July,30,20,1,3,2,0,0,HB,Direct,Direct,0,0,0,A,A,0,1,0,Check-Out,24/07/2015
24,Resort Hotel,0,340,52,2015,July,30,20,1,5,2,0,0,HB,Direct,Direct,0,0,0,A,D,0,0,0,Check-Out,26/07/2015
23,Resort Hotel,0,400,89,2015,July,30,21,1,5,3,0,0,BB,Direct,Direct,0,0,0,A,D,0,1,1,Check-Out,27/07/2015
10,Resort Hotel,1,250,44,2015,July,30,22,0,4,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Canceled,09/06/2015
6,Resort Hotel,0,60,3,2015,July,30,23,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,D,E,0,1,1,Check-Out,24/07/2015
2,Resort Hotel,0,50,0,2015,July,30,23,0,1,2,0,0,BB,Direct,Direct,0,0,0,C,C,0,0,0,Check-Out,24/07/2015
23,Resort Hotel,1,100,36,2015,July,30,24,0,1,2,0,0,BB,Direct,Direct,0,0,0,A,A,0,0,0,Canceled,22/07/2015
16,Resort Hotel,1,100,22,2015,July,30,24,0,2,2,2,0,BB,Online TA,TA/TO,0,0,0,G,G,0,0,2,Canceled,14/07/2015
15,Resort Hotel,0,230,1,2015,July,30,24,1,2,3,0,0,BB,Online TA,TA/TO,0,0,0,H,H,2,0,0,Check-Out,27/07/2015
29,Resort Hotel,1,100,67,2015,July,30,24,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Canceled,06/07/2015
6,Resort Hotel,0,290,14,2015,July,30,24,2,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,D,0,1,1,Check-Out,28/07/2015
25,Resort Hotel,0,280,28,2015,July,30,24,2,2,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,0,Check-Out,28/07/2015
24,Resort Hotel,0,330,55,2015,July,30,24,2,3,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,1,Check-Out,29/07/2015
21,Resort Hotel,0,100,11,2015,July,30,25,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,A,F,0,0,0,Check-Out,26/07/2015
24,Resort Hotel,0,140,1,2015,July,30,25,1,1,2,0,0,BB,Direct,Direct,0,0,0,D,E,0,0,0,Check-Out,27/07/2015
2,Resort Hotel,0,330,52,2015,July,30,25,2,3,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,2,Check-Out,30/07/2015
30,Resort Hotel,1,450,29,2015,July,30,25,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,1,0,1,Canceled,27/06/2015
27,Resort Hotel,1,430,100,2015,July,30,25,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Canceled,17/04/2015
4,Resort Hotel,1,480,25,2015,July,30,25,2,6,1,0,0,BB,Direct,Direct,0,0,0,A,A,0,0,0,Canceled,03/07/2015
3,Resort Hotel,0,550,60,2015,July,30,25,2,6,2,0,0,HB,Online TA,TA/TO,0,0,0,A,A,1,0,1,Check-Out,02/08/2015
1,Resort Hotel,0,660,115,2015,July,30,25,4,6,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,2,Check-Out,04/08/2015
25,Resort Hotel,1,430,299,2015,July,30,25,2,5,2,1,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,1,Canceled,25/03/2015
19,Resort Hotel,1,430,50,2015,July,30,25,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,0,0,Canceled,08/06/2015
2,Resort Hotel,1,330,88,2015,July,31,26,2,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Canceled,15/05/2015
6,Resort Hotel,0,150,59,2015,July,31,27,1,1,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,1,0,Check-Out,29/07/2015
14,Resort Hotel,1,140,48,2015,July,31,27,1,1,2,0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Canceled,15/06/2015
2,Resort Hotel,0,200,48,2015,July,31,27,1,2,2,0,0,BB,Online TA,TA/TO,0,0,0,E,F,0,1,0,Check-Out,30/07/2015
25,Resort Hotel,0,190,96,2015,July,31,27,1,2,2,0,0,HB,Online TA,TA/TO,0,0,0,A,E,0,0,2,Check-Out,30/07/2015
3,Resort Hotel,0,290,31,2015,July,31,27,1,3,2,0,0,HB,Direct,Direct,0,0,0,A,C,0,0,0,Check-Out,31/07/2015
1,Resort Hotel,0,350,28,2015,July,31,27,1,4,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,1,0,Check-Out,01/08/2015
7,Resort Hotel,0,310,77,2015,July,31,27,1,4,2,0,0,BB,Online TA,TA/TO,0,0,0,G,G,1,0,1,Check-Out,01/08/2015
15,Resort Hotel,1,270,34,2015,July,31,27,1,4,2,0,0,HB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Canceled,06/07/2015
6,Resort Hotel,1,340,298,2015,July,31,27,1,5,3,0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,1,Canceled,17/03/2015
5,Resort Hotel,1,150,63,2015,July,31,28,0,3,2,2,0,BB,Online TA,TA/TO,0,0,0,G,G,0,0,0,Canceled,07/07/2015
18,Resort Hotel,0,200,47,2015,July,31,28,0,4,2,0,0,BB,Direct,Direct,0,0,0,F,F,0,0,2,Check-Out,01/08/2015
8,Resort Hotel,0,50,8,2015,July,31,29,0,0,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,D,I,0,0,0,Check-Out,29/07/2015
19,Resort Hotel,1,430,54,2015,July,31,29,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,F,F,0,0,0,Canceled,08/06/2015
28,Resort Hotel,1,430,58,2015,July,31,29,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,0,Canceled,05/06/2015
12,Resort Hotel,1,480,47,2015,July,31,29,2,6,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,1,Canceled,17/06/2015
7,Resort Hotel,1,240,62,2015,July,31,30,1,3,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,0,0,Canceled,09/06/2015
25,Resort Hotel,0,510,75,2015,July,31,30,2,7,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,1,Check-Out,08/08/2015
2,Resort Hotel,1,50,25,2015,July,31,31,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,2,Canceled,06/07/2015
12,Resort Hotel,1,190,18,2015,July,31,31,1,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,1,Canceled,15/07/2015
12,Resort Hotel,1,100,10,2015,August,31,1,0,1,2,0,0,BB,Direct,Direct,0,0,0,F,F,0,0,0,Canceled,29/07/2015
8,Resort Hotel,1,120,80,2015,August,31,1,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,1,0,2,Canceled,16/07/2015
6,Resort Hotel,1,350,3,2015,August,31,1,2,3,2,2,0,HB,Direct,Direct,0,0,0,C,C,1,0,1,Canceled,29/07/2015
14,Resort Hotel,1,450,91,2015,August,31,1,2,5,2,0,0,HB,Online TA,TA/TO,0,0,0,A,A,1,0,2,Canceled,22/05/2015
11,Resort Hotel,1,430,130,2015,August,31,1,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,2,Canceled,19/05/2015
21,Resort Hotel,1,450,91,2015,August,31,1,2,5,2,1,0,HB,Online TA,TA/TO,0,0,0,A,A,1,0,3,Canceled,06/06/2015
3,Resort Hotel,1,140,25,2015,August,32,2,1,0,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,2,Canceled,08/07/2015
4,Resort Hotel,1,180,2,2015,August,32,2,2,0,2,0,0,BB,Online TA,TA/TO,0,0,0,A,C,0,0,1,Canceled,01/08/2015
4,Resort Hotel,1,150,61,2015,August,32,4,0,3,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Canceled,06/07/2015
9,Resort Hotel,0,230,13,2015,August,32,4,0,4,2,0,0,HB,Direct,Direct,0,0,0,C,C,1,1,2,Check-Out,08/08/2015
30,Resort Hotel,0,180,9,2015,August,32,6,0,3,2,2,0,HB,Online TA,TA/TO,0,0,0,G,C,2,1,1,Check-Out,09/08/2015
23,Resort Hotel,0,150,6,2015,August,32,7,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,F,0,0,1,Check-Out,09/08/2015
16,Resort Hotel,1,350,4,2015,August,32,7,2,2,2,2,0,BB,Online TA,TA/TO,0,0,0,G,G,1,0,2,Canceled,04/08/2015
27,Resort Hotel,1,330,46,2015,August,32,7,2,2,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Canceled,14/07/2015
23,Resort Hotel,0,280,83,2015,August,32,7,2,2,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,2,Check-Out,11/08/2015
27,Resort Hotel,1,430,73,2015,August,32,7,2,5,2,2,0,BB,Online TA,TA/TO,0,0,0,C,C,0,0,0,Canceled,09/07/2015
13,Resort Hotel,0,60,0,2015,August,32,8,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,1,0,Check-Out,09/08/2015
8,Resort Hotel,0,140,5,2015,August,32,8,1,1,2,0,0,BB,Online TA,TA/TO,0,0,0,G,H,0,0,1,Check-Out,10/08/2015
19,Resort Hotel,0,340,3,2015,August,32,8,2,2,2,0,0,HB,Online TA,TA/TO,0,0,0,A,D,0,1,3,Check-Out,12/08/2015
2,Resort Hotel,1,430,87,2015,August,32,8,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Canceled,19/05/2015
20,Resort Hotel,0,440,12,2015,August,32,8,2,5,2,2,0,BB,Offline TA/TO,TA/TO,0,0,0,G,G,0,1,1,Check-Out,15/08/2015
1,Resort Hotel,1,430,60,2015,August,32,8,2,5,2,2,0,BB,Offline TA/TO,TA/TO,0,0,0,C,C,0,0,0,Canceled,27/07/2015
11,Resort Hotel,1,430,54,2015,August,32,8,2,5,2,0,0,HB,Direct,Direct,0,0,0,F,F,0,0,0,Canceled,08/08/2015
10,Resort Hotel,0,440,126,2015,August,32,8,2,5,2,0,1,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,1,2,Check-Out,15/08/2015
8,Resort Hotel,0,280,34,2015,August,33,9,2,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Check-Out,13/08/2015
15,Resort Hotel,1,330,65,2015,August,33,9,2,3,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Canceled,22/06/2015
8,Resort Hotel,1,330,129,2015,August,33,9,2,3,1,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,0,Canceled,06/04/2015
20,Resort Hotel,0,430,72,2015,August,33,9,2,5,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,1,Check-Out,16/08/2015
12,Resort Hotel,0,430,68,2015,August,33,9,2,5,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,0,0,Check-Out,16/08/2015
4,Resort Hotel,1,290,63,2015,August,33,10,1,4,2,0,0,HB,Online TA,TA/TO,0,0,0,D,D,0,0,0,Canceled,19/06/2015
19,Resort Hotel,1,410,95,2015,August,33,10,2,5,4,0,0,BB,Direct,Direct,0,0,0,H,H,0,0,0,Canceled,26/06/2015
24,Resort Hotel,1,430,101,2015,August,33,10,2,5,2,0,1,HB,Online TA,TA/TO,0,0,0,E,E,0,0,2,Canceled,30/07/2015
18,Resort Hotel,1,170,87,2015,August,33,11,0,2,2,0,0,BB,Direct,Direct,0,0,0,A,A,1,0,0,Canceled,05/08/2015
27,Resort Hotel,1,120,74,2015,August,33,11,0,2,2,0,0,BB,Direct,Direct,0,0,0,A,A,1,0,1,Canceled,20/07/2015
3,Resort Hotel,1,150,120,2015,August,33,11,0,3,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,0,1,Canceled,11/06/2015
10,Resort Hotel,1,250,78,2015,August,33,11,0,5,2,0,0,BB,Online TA,TA/TO,0,0,0,G,G,0,0,0,Canceled,25/06/2015
6,Resort Hotel,1,250,117,2015,August,33,11,0,5,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,D,D,0,0,1,Canceled,20/04/2015
18,Resort Hotel,0,430,31,2015,August,33,11,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,0,1,Check-Out,18/08/2015
16,Resort Hotel,0,600,84,2015,August,33,11,2,8,2,1,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,1,0,1,Check-Out,21/08/2015
